x,y,z,rho,p,is_boundary
9.55878e-06,0.0819417,0.000125251,92.2004,0,0
5.89499e-05,0.104216,0.0840178,103.46,0,0
0.00259674,0.0958961,0.204477,97.2264,0,0
0.00593405,0.0919625,0.296404,113.23,923.02,0
0.000111771,0.0972015,0.375871,105.834,183.447,0
0.0106052,0.0950247,0.474626,98.6596,0,0
3.51867e-06,0.105025,0.591693,100.099,0,0
3.25517e-05,0.110144,0.681044,102.224,0,0
0.00524413,0.0823452,0.772119,97.9061,0,0
0.008764,0.0910746,0.885586,93.4858,0,0
0.00295808,0.082719,0.983931,95.144,0,0
0.0104241,0.207236,0.00829064,110.074,607.413,0
0.00613188,0.181498,0.0986222,115.798,1179.84,0
0,0.203823,0.187294,112.569,856.911,0
0,0.188477,0.284891,94.7724,0,0
0.00814101,0.187549,0.40417,119.753,1575.32,0
0.00979728,0.184937,0.474044,130.589,2658.86,0
0.00772706,0.185515,0.579437,102.467,0,0
0,0.19904,0.696137,121.425,1742.49,0
0,0.183687,0.780881,105.343,134.27,0
0.00538052,0.199031,0.873711,104.052,5.22232,0
1.6426e-05,0.185284,0.974187,87.7031,0,0
0.00884683,0.279171,2.75927e-05,111.674,767.408,0
0.00526385,0.278837,0.106907,97.5386,0,0
0,0.286038,0.192037,105.011,101.144,0
0.000618188,0.303013,0.297761,103.354,0,0
0,0.282108,0.397192,102.98,0,0
0,0.280483,0.483604,106.365,236.546,0
0,0.291343,0.594316,90.4341,0,0
0.0127735,0.282511,0.689279,126.241,2224.15,0
0.00208046,0.300316,0.777563,108.049,404.854,0
0,0.284091,0.887299,99.7451,0,0
0,0.285675,0.982436,92.8402,0,0
0.0116936,0.378211,0,101.091,0,0
0.00539993,0.390932,0.0939769,103.671,0,0
0.00967664,0.402472,0.189875,95.5611,0,0
0,0.375764,0.300123,116.623,1262.33,0
0,0.388131,0.382658,105.194,119.402,0
0,0.376769,0.500625,97.9714,0,0
0.00444299,0.389799,0.593475,109.777,577.683,0
3.49006e-05,0.387456,0.689963,104.781,78.0899,0
4.21501e-05,0.374616,0.78307,111.611,761.134,0
1.82594e-05,0.394245,0.875981,98.1958,0,0
7.29442e-06,0.393382,0.98128,94.2661,0,0
0,0.49589,0,113.426,942.557,0
0.00227637,0.496015,0.0929831,95.417,0,0
0,0.492373,0.2012,121.192,1719.18,0
0,0.491777,0.279634,102.851,0,0
1.25471e-05,0.482762,0.394802,97.4657,0,0
1.08685e-08,0.474033,0.475126,98.0327,0,0
0,0.472351,0.583362,106.666,266.556,0
0,0.488673,0.674098,100.131,0,0
1.60267e-05,0.481328,0.777988,90.1316,0,0
0.0145873,0.492616,0.864827,98.4807,0,0
0.00195922,0.48986,0.98553,89.2526,0,0
0.00738345,0.572429,0.00339492,110.725,672.53,0
0,0.598068,0.0948982,104.164,16.4154,0
0.00819411,0.576009,0.200676,112.125,812.523,0
0.0101712,0.595611,0.30156,106.572,257.176,0
0,0.596501,0.388176,100.473,0,0
0.0132249,0.58032,0.490727,91.4205,0,0
0.00148034,0.584137,0.586361,95.6768,0,0
0,0.59501,0.686788,108.402,440.232,0
0.0106013,0.594494,0.772773,105.035,103.453,0
2.62952e-05,0.594329,0.885997,106.89,288.999,0
3.75029e-05,0.595911,0.986375,109.261,526.101,0
0.010772,0.685476,0.00514308,96.8483,0,0
0,0.675317,0.111456,107.279,327.93,0
0.00594317,0.6863,0.205522,114.247,1024.66,0
0.0137533,0.685444,0.289534,129.532,2553.2,0
0,0.689404,0.375772,103.008,0,0
0.00074516,0.69502,0.476089,95.5633,0,0
0.010233,0.679258,0.597898,110.231,623.136,0
0,0.68245,0.678262,114.526,1052.62,0
2.77359e-05,0.691825,0.790725,100.698,0,0
0,0.667621,0.878889,132.782,2878.17,0
0.00345693,0.668363,0.961511,113.43,942.979,0
0.000849495,0.786515,0,109.813,581.345,0
0.00958892,0.773012,0.0838668,101.448,0,0
0.0139479,0.765002,0.185085,117.542,1354.18,0
0.010635,0.780038,0.291827,113.67,966.986,0
0,0.789576,0.399782,114.395,1039.48,0
0,0.785,0.47994,119.276,1527.62,0
0,0.774043,0.599616,110.169,616.869,0
0.0121511,0.766569,0.688682,103.317,0,0
7.80153e-06,0.786303,0.793149,106.119,211.897,0
4.59016e-05,0.782941,0.871432,101.431,0,0
3.5171e-05,0.784859,0.989768,98.3064,0,0
0,0.866647,0.0011336,117.553,1355.35,0
0.00494914,0.880376,0.0863205,106.823,282.312,0
0.00654254,0.864469,0.208646,99.1415,0,0
0.0120517,0.867715,0.303257,115.41,1140.96,0
0,0.867546,0.402087,104.86,85.981,0
0.000632737,0.873475,0.497274,112.389,838.885,0
0,0.868177,0.599273,106.058,205.759,0
0.00896312,0.873704,0.677507,118.44,1443.99,0
0.00356745,0.885118,0.775452,105.997,199.673,0
0.00100477,0.883862,0.874432,109.853,585.297,0
0.0100353,0.86257,0.971733,99.8198,0,0
0.0135705,0.971295,0.0117488,102.017,0,0
0,0.966312,0.09908,106.207,220.697,0
0.00907046,0.969921,0.201081,96.224,0,0
0,0.974485,0.306679,115.639,1163.93,0
0.00457627,0.983879,0.377759,121.343,1734.29,0
0,0.968566,0.487989,103.335,0,0
0.00672582,0.975898,0.577422,90.5486,0,0
0,0.98366,0.692193,87.8886,0,0
0.002569,0.968449,0.790931,114.109,1010.87,0
0.0101808,0.972916,0.867773,114.357,1035.73,0
0,0.969644,0.98956,90.9015,0,0
0.00240957,1.08004,0,80.083,0,0
0.0040033,1.08023,0.0990404,90.1092,0,0
0.0112264,1.0643,0.190598,109.03,502.957,0
0,1.07712,0.290372,86.3043,0,0
0,1.05903,0.393738,118.914,1491.43,0
0.00555867,1.05726,0.474335,102.549,0,0
2.48709e-05,1.07863,0.587054,87.9757,0,0
0,1.08238,0.684771,90.1165,0,0
0,1.07417,0.787206,91.5264,0,0
0.0133637,1.07118,0.873391,115.048,1104.84,0
0.00687936,1.06706,0.961047,89.1295,0,0
0.0898745,0.100279,0.00983227,107.669,366.901,0
0.111502,0.0998629,0.0868985,111.546,754.611,0
0.0834294,0.0907143,0.187566,97.5956,0,0
0.0955106,0.103457,0.29062,112.892,889.23,0
0.0964901,0.0863805,0.399232,101.136,0,0
0.099112,0.0841778,0.483072,103.978,0,0
0.106899,0.096835,0.585454,92.5944,0,0
0.10027,0.0818283,0.695429,93.455,0,0
0.0843964,0.108041,0.779104,108.455,445.452,0
0.0925228,0.0963378,0.878614,96.5976,0,0
0.0859102,0.084643,0.983069,92.0489,0,0
0.104169,0.189978,0,122.286,1828.6,0
0.108004,0.188843,0.0885124,118.877,1487.73,0
0.0905678,0.189735,0.205094,108.664,466.352,0
0.0884351,0.18325,0.291202,119.758,1575.82,0
0.0994595,0.205442,0.38879,101.342,0,0
0.0890456,0.191359,0.500726,117.712,1371.19,0
0.0985845,0.1995,0.573407,112.348,834.8,0
0.0838441,0.191085,0.685222,100.364,0,0
0.090268,0.203537,0.793359,120.758,1675.83,0
0.102783,0.200672,0.876797,131.29,2728.99,0
0.101187,0.195932,0.964211,96.9789,0,0
0.10009,0.280026,0,108.414,441.423,0
0.109174,0.298125,0.0855416,107.904,390.353,0
